Country,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,6,6,6,6,6,6,9,9,21,27,27,27,36,36,51,51,69,76,76,81,81,86,86,94,94,94,94,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,6,9,9,9,9,11,11,15,15,19,23,25,25,28,44,44,53,65,72,87,93,122,165,182,209,209,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,7,10,11,18,23,23,23,31,33,42,42,43,43,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,11,26,35,45,50,58,65,81,90,109,134,156,175,198,198,250,330,409,473,568,588,648,737,802,890,963,1020,1020,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,8,12,19,26,32,38,61,94,112,141,189,253,344,344,464,694,833,995,1120,1236,1394,1654,1925,2279,2631,2775,2878,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,8,12,12,22,30,40,44,46,65,70,89,97,97,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,8,8,8,11,12,15,18,24,262,262,320,337,401,439,442,452,460,470,481,494,501,526,537,549,562,590,634,634,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,6,6,20,26,45,45,84,122,136,160,194,235,249,265,290,329,407,424,424,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,5,6,7,13,16,18,20,20,20,29,39,54,60,75,89,114,173,197,227,278,312,312,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,4,4,4,4,4,4,10,10,10,24,24,24,31,36,38,56,67,79,86,99,105,119,130,142,142,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,8,8,10,15,15,15,15,16,19,19,19,21,25,26,26,30,32,32,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,5,6,6,6,6,6,11,11,21,21,21,34,72,112,202,245,312,392,488,581,719,859,859,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,10,29,29,52,69,85,100,112,127,154,172,212,235,246,259,259,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,6,8,10,16,17,26,30,34,34,71,86,111,124,139,180,197,221,244,280,305,347,347,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,14,14,39,74,75,88,113,133,164,188,224,267,308,334,334,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,5,6,7,17,28,29,29,49,63,77,96,115,143,170,225,275,345,390,479,479,,,,,,
